Name;Insertions;Deletions;Fitness
NC;1;0;0.93
NCA;0;1;0.97
ND;0;0;1.00
NDA;0;0;1.00
NE;2;0;0.83
NEA;0;3;0.97
NF;1;0;0.98
NFA;0;0;1.00
NG;1;0;0.92
NGA;0;31;0.91
NH;0;0;1.00
NHA;0;0;1.00
NI;1;0;0.97
NIA;0;0;1.00
NJ;1;0;0.97
NJA;0;1;0.97
NK;0;0;1.00
NKA;2;0;0.91
NL;1;0;0.92
NLA;2;0;0.83
NM;0;0;1.00
NMA;0;2;0.95
NN;1;0;0.96
NO;0;0;1.00
NP;0;0;1.00
NQ;2;0;0.83
NR;0;0;1.00
NS;1;0;0.92
NT;0;0;1.00
NU;0;0;1.00
NV;0;1;0.95
NW;0;0;1.00
NX;0;0;1.00
NY;0;0;1.00
NZ;0;16;0.85
O;0;0;1.00
OA;0;0;1.00
OAA;0;7;0.90
OB;1;0;0.97
OBA;1;0;0.96
OC;0;1;0.98
OCA;2;0;0.83
OD;1;36;0.82
ODA;0;0;1.00
OE;4;0;0.60
OEA;1;0;0.98
OF;4;0;0.60
OFA;3;1;0.75
OG;1;0;0.95
OGA;0;0;1.00
OH;0;0;1.00
OHA;1;0;0.96
OI;1;0;0.92
OIA;0;0;1.00
OJ;1;3;0.91
OJA;4;0;0.60
OK;0;0;1.00
OKA;0;0;1.00
OL;2;0;0.92
OLA;0;0;1.00
OM;0;0;1.00
OMA;1;4;0.90
ON;1;0;0.97
OO;0;0;1.00
OP;0;0;1.00
OQ;0;0;1.00
OR;0;2;0.95
OS;0;0;1.00
OT;0;0;1.00
OU;2;1;0.90
OV;2;0;0.90
OW;0;0;1.00
OX;0;0;1.00
OY;2;0;0.94
OZ;0;0;1.00
P;4;0;0.60
PA;1;0;0.92
PAA;0;0;1.00
PB;0;0;1.00
PBA;0;0;1.00
PC;2;0;0.83
PCA;1;0;0.95
PD;2;1;0.84
PDA;0;0;1.00
PE;0;0;1.00
PEA;0;0;1.00
PF;0;0;1.00
PFA;0;2;0.95
PG;1;1;0.92
PGA;0;3;0.93
PH;3;1;0.78
PHA;0;0;1.00
PI;0;0;1.00
PIA;0;4;0.95
PJ;0;1;0.97
PJA;0;0;1.00
PK;0;0;1.00
PKA;1;0;0.97
PL;4;1;0.67
PLA;0;0;1.00
PM;2;0;0.89
PMA;0;0;1.00
PN;2;1;0.77
PO;0;0;1.00
PP;2;0;0.83
PQ;4;0;0.71
PR;2;0;0.93
PS;0;0;1.00
PT;1;0;0.96
PU;1;0;0.99
PV;0;0;1.00
PW;0;0;1.00
PX;2;0;0.83
PY;0;0;1.00
PZ;1;0;0.97
Q;4;0;0.60
QA;0;0;1.00
QAA;0;0;1.00
QB;0;0;1.00
QBA;0;3;0.95
QC;0;0;1.00
QCA;0;0;1.00
QD;0;0;1.00
QDA;2;0;0.90
QE;0;0;1.00
QEA;3;1;0.75
QF;0;0;1.00
QFA;1;0;0.94
QG;0;0;1.00
QGA;0;0;1.00
QH;1;3;0.91
QHA;0;0;1.00
QI;1;0;0.95
QIA;0;0;1.00
QJ;0;0;1.00
QJA;2;1;0.84
QK;1;2;0.90
QKA;0;0;1.00
QL;1;0;0.92
QLA;3;1;0.75
QM;0;0;1.00
QMA;2;1;0.92
QN;0;0;1.00
QO;0;0;1.00
QP;0;0;1.00
QQ;0;0;1.00
QR;2;0;0.83
QS;0;0;1.00
QT;0;0;1.00
QU;0;0;1.00
QV;0;0;1.00
QW;0;0;1.00
QX;0;3;0.95
QY;3;1;0.85
QZ;0;0;1.00
R;2;0;0.83
RA;4;0;0.60
RAA;0;0;1.00
RB;2;0;0.88
RBA;0;0;1.00
RC;1;0;0.96
RCA;0;0;1.00
RD;1;0;0.93
RDA;0;0;1.00
RE;0;0;1.00
REA;1;0;0.92
RF;0;0;1.00
RFA;0;1;0.95
RG;1;0;0.99
RGA;0;0;1.00
RH;3;0;0.77
RHA;2;0;0.90
RI;0;0;1.00
RIA;0;0;1.00
RJ;0;0;1.00
RJA;0;0;1.00
RK;0;0;1.00
RKA;1;0;0.95
RL;2;0;0.88
RLA;0;0;1.00
RM;3;0;0.82
RN;1;0;0.98
RO;1;2;0.91
RP;2;0;0.93
RQ;0;0;1.00
RR;0;1;0.95
RS;0;0;1.00
RT;0;0;1.00
RU;0;5;0.92
RV;4;0;0.60
RW;0;0;1.00
RX;2;0;0.83
RY;0;2;0.95
RZ;1;0;0.97
S;0;0;1.00
SA;0;0;1.00
SAA;2;0;0.92
SB;0;0;1.00
SBA;0;0;1.00
SC;0;0;1.00
SCA;0;1;0.97
SD;1;0;0.97
SDA;0;0;1.00
SE;0;0;1.00
SEA;0;0;1.00
SF;2;0;0.92
SFA;0;1;0.97
SG;3;0;0.77
SGA;0;1;0.97
SH;0;0;1.00
SHA;0;0;1.00
SI;0;0;1.00
SIA;3;1;0.78
SJ;1;0;0.97
SJA;0;0;1.00
SK;1;0;0.98
SKA;4;0;0.60
SL;1;0;0.97
SLA;0;0;1.00
SM;0;5;0.93
SMA;1;0;0.97
SN;0;0;1.00
SO;1;0;0.97
SP;4;0;0.60
SQ;2;0;0.92
SR;0;0;1.00
SS;0;0;1.00
ST;0;0;1.00
SU;0;0;1.00
SV;0;0;1.00
SW;0;1;0.97
SX;0;0;1.00
SY;0;0;1.00
SZ;3;1;0.78
T;0;0;1.00
TA;2;0;0.91
TAA;0;0;1.00
TB;1;0;0.95
TBA;0;0;1.00
TC;0;4;0.91
TCA;0;0;1.00
TD;0;1;0.97
TDA;0;0;1.00
TE;3;0;0.77
TEA;1;0;0.96
TF;2;0;0.94
TFA;3;0;0.80
TG;0;0;1.00
TGA;0;0;1.00
TH;1;0;0.96
THA;2;1;0.88
TI;1;0;0.98
TIA;2;0;0.94
TJ;0;1;0.97
TJA;0;0;1.00
TK;2;0;0.83
TKA;0;0;1.00
TL;0;0;1.00
TLA;0;0;1.00
TM;1;0;0.93
TMA;0;0;1.00
TN;0;3;0.94
TO;0;10;0.83
TP;0;0;1.00
TQ;0;0;1.00
TR;1;0;0.94
TS;0;0;1.00
TT;2;0;0.83
TU;2;0;0.95
TV;0;0;1.00
TW;0;0;1.00
TX;0;0;1.00
TY;4;0;0.60
TZ;0;0;1.00
U;2;0;0.92
UA;0;0;1.00
UAA;2;0;0.83
UB;0;0;1.00
UBA;0;0;1.00
UC;0;5;0.92
UCA;2;0;0.83
UD;0;0;1.00
UDA;0;2;0.97
UE;0;0;1.00
UEA;4;0;0.60
UF;0;4;0.93
UFA;2;0;0.89
UG;0;0;1.00
UGA;0;0;1.00
UH;4;0;0.60
UHA;2;0;0.83
UI;0;0;1.00
UIA;2;1;0.89
UJ;0;0;1.00
UJA;0;0;1.00
UK;1;0;0.97
UKA;0;1;0.97
UL;3;1;0.75
ULA;1;1;0.93
UM;2;0;0.90
UMA;0;2;0.92
